dex_no,name_en,generation,forms,category,height_m,weight_kg,hatch_time,name_fr,name_es,name_de,name_it,has_gender,female_percent,male_percent,is_breedable,catch_rate,leveling_rate,pokedex_colour,base_friendship,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_experience_yield,egg_group_0,egg_group_1,type_0,type_1,ev_yield_hp,ev_yield_attack,ev_yield_defense,ev_yield_special_attack,ev_yield_special_defense,ev_yield_speed,description_violet,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level,bulbapedia_link
0001,Bulbasaur,1,1,Seed Pokémon,0.7,6.9,20,Bulbizarre,Bulbasaur,Bisasam,Bulbasaur,True,12.5,87.5,True,45,Medium Slow,Green,70,45,49,49,65,65,45,64,Monster,Grass,Grass,Poison,0,0,0,1,0,0,"It carries a seed on its back right from birth. As its body grows larger, the seed does too.",Overgrow,,Chlorophyll,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)
0002,Ivysaur,1,1,Seed Pokémon,1.0,13.0,20,Herbizarre,Ivysaur,Bisaknosp,Ivysaur,True,12.5,87.5,True,45,Medium Slow,Green,70,60,62,63,80,80,60,142,Monster,Grass,Grass,Poison,0,0,0,1,1,0,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.,Overgrow,,Chlorophyll,False,False,True,stage 1,32,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)
0003,Venusaur,1,1,Seed Pokémon,2.0,100.0,20,Florizarre,Venusaur,Bisaflor,Venusaur,True,12.5,87.5,True,45,Medium Slow,Green,70,80,82,83,100,100,80,236,Monster,Grass,Grass,Poison,0,0,0,2,1,0,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",Overgrow,,Chlorophyll,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
0004,Charmander,1,1,Lizard Pokémon,0.6,8.5,20,Salamèche,Charmander,Glumanda,Charmander,True,12.5,87.5,True,45,Medium Slow,Red,70,39,52,43,60,50,65,62,Monster,Dragon,Fire,,0,0,0,0,0,1,"If Charmander is healthy, the flame on the tip of its tail will burn vigorously and won’t go out even if it gets a bit wet.",Blaze,,Solar Power,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)
0005,Charmeleon,1,1,Flame Pokémon,1.1,19.0,20,Reptincel,Charmeleon,Glutexo,Charmeleon,True,12.5,87.5,True,45,Medium Slow,Red,70,58,64,58,80,65,80,142,Monster,Dragon,Fire,,0,0,0,1,0,1,"It is very hotheaded by nature, so it constantly seeks opponents to battle against. Its aggression will not be quelled if it doesn’t win.",Blaze,,Solar Power,False,False,True,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)
0006,Charizard,1,1,Flame Pokémon,1.7,90.5,20,Dracaufeu,Charizard,Glurak,Charizard,True,12.5,87.5,True,45,Medium Slow,Red,70,78,84,78,109,85,100,240,Monster,Dragon,Fire,Flying,0,0,0,3,0,0,"It uses its wings to fly sky-high. The more experience it gains in battle, the greater the temperature at which its flames burn.",Blaze,,Solar Power,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
0007,Squirtle,1,1,Tiny Turtle Pokémon,0.5,9.0,20,Carapuce,Squirtle,Schiggy,Squirtle,True,12.5,87.5,True,45,Medium Slow,Blue,70,44,48,65,50,64,43,63,Monster,Water 1,Water,,0,0,1,0,0,0,"Its shell is soft immediately after it is born. In no time at all, the shell becomes so resilient that a prodding finger will bounce right off it.",Torrent,,Rain Dish,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)
0008,Wartortle,1,1,Turtle Pokémon,1.0,22.5,20,Carabaffe,Wartortle,Schillok,Wartortle,True,12.5,87.5,True,45,Medium Slow,Blue,70,59,63,80,65,80,58,142,Monster,Water 1,Water,,0,0,1,0,1,0,"It often hides in water to stalk unwary prey. While swimming quickly, it moves its ears to maintain balance.",Torrent,,Rain Dish,False,False,True,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon)
0009,Blastoise,1,1,Shellfish Pokémon,1.6,85.5,20,Tortank,Blastoise,Turtok,Blastoise,True,12.5,87.5,True,45,Medium Slow,Blue,70,79,83,100,85,105,78,239,Monster,Water 1,Water,,0,0,0,0,3,0,It has jet nozzles on its shell. This impressive Pokémon uses these jets to charge toward foes with all the force of a rocket.,Torrent,,Rain Dish,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
0010,Caterpie,1,1,Worm Pokémon,0.3,2.9,15,Chenipan,Caterpie,Raupy,Caterpie,True,50,50,True,255,Medium Fast,Green,70,45,30,35,20,20,45,39,Bug,,Bug,,1,0,0,0,0,0,,Shield Dust,,Run Away,False,False,True,basic,7,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon)
0011,Metapod,1,1,Cocoon Pokémon,0.7,9.9,15,Chrysacier,Metapod,Safcon,Metapod,True,50,50,True,120,Medium Fast,Green,70,50,20,55,25,25,30,72,Bug,,Bug,,0,0,2,0,0,0,,Shed Skin,,,False,False,True,stage 1,10,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)
0012,Butterfree,1,1,Butterfly Pokémon,1.1,32.0,15,Papilusion,Butterfree,Smettbo,Butterfree,True,50,50,True,45,Medium Fast,White,70,60,45,50,80,80,70,178,Bug,,Bug,Flying,0,0,0,2,1,0,,Compound Eyes,,Tinted Lens,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)
